id_Venda,fk_Cliente,fk_Produto,fk_Loja,Quantidade,dt_Venda
766979-7865826879-vd01,487,1,4,24,2023-01-01
766979-7865826879-vd02,3642,56,5,21,2023-01-01
766979-7865826879-vd03,1504,39,3,21,2023-01-01
766979-7865826879-vd04,2622,117,1,23,2023-01-01
766979-7865826879-vd05,3753,124,4,10,2023-01-01
766979-7865826879-vd06,2970,138,2,13,2023-01-01
766979-7865826879-vd07,1705,71,3,12,2023-01-01
766979-7865826879-vd08,3773,19,5,7,2023-01-01
766979-7865826879-vd09,2132,131,4,30,2023-01-01
766979-7865826879-vd10,2613,44,4,9,2023-01-01
766979-7865826879-vd11,1405,36,1,33,2023-01-01
766979-7865826879-vd12,3962,21,4,7,2023-01-01
766979-7865826879-vd13,1028,110,5,31,2023-01-01
766979-7865826879-vd14,3277,93,2,15,2023-01-01
766979-7865826879-vd15,451,101,3,30,2023-01-01
766979-7865826879-vd16,3276,72,4,32,2023-01-01
766979-7865826879-vd17,573,64,2,25,2023-01-01
766979-7865826879-vd18,3191,32,2,18,2023-01-01
766979-7865826879-vd19,761,36,5,29,2023-01-01
766979-7865826879-vd20,666,8,3,24,2023-01-01
766979-7865826879-vd21,2728,14,4,25,2023-01-01
766979-7865826879-vd22,1366,65,5,15,2023-01-01
766979-7865826879-vd23,2091,113,2,35,2023-01-01
766979-7865826879-vd24,3567,90,3,29,2023-01-01
766979-7865826879-vd25,1904,74,1,6,2023-01-01
766979-7865826879-vd26,2229,75,4,26,2023-01-01
766979-7865826879-vd27,3353,76,4,25,2023-01-01
766979-7865826879-vd28,3386,77,3,15,2023-01-01
766979-7865826879-vd29,1166,78,5,14,2023-01-01
766979-7865826879-vd30,2432,79,4,24,2023-01-01
766979-7865826879-vd31,3507,27,2,18,2023-01-01
766979-7865826879-vd47,3534,5,4,1,2023-01-01
766979-7865826879-vd48,896,22,2,25,2023-01-01
766979-7865826879-vd49,2705,33,5,1,2023-01-01
766979-7865826879-vd50,1105,2,3,28,2023-01-01
766979-7865826879-vd51,31,68,3,9,2023-01-01
766979-7865826879-vd52,3630,25,1,35,2023-01-01
766979-7865826879-vd53,332,119,3,9,2023-01-01
766979-7865826879-vd54,2464,132,2,19,2023-01-01
766979-7865826879-vd55,3715,114,2,5,2023-01-01
766979-7865826879-vd56,1642,45,4,7,2023-01-01
766979-7865826879-vd57,403,52,2,27,2023-01-01
766979-7865826879-vd58,163,23,2,28,2023-01-01
766979-7865826879-vd59,2898,102,5,31,2023-01-01
766979-7865826879-vd60,3911,131,4,26,2023-01-01
766979-7865826879-vd61,20,61,1,14,2023-01-01
766979-7865826879-vd62,1028,102,4,6,2023-01-01
766979-7865826879-vd63,2432,4,1,32,2023-01-01
766979-7865826879-vd64,489,48,1,29,2023-01-01
766979-7865826879-vd65,1547,16,2,33,2023-01-01
766979-7865826879-vd66,1644,86,3,9,2023-01-01
766979-7865826879-vd67,2349,53,5,26,2023-01-01
766979-7865826879-vd68,749,4,2,26,2023-01-01
766979-7865826879-vd69,503,25,3,32,2023-01-01
766979-7865826879-vd70,1806,20,3,16,2023-01-01
766979-7865826879-vd71,1963,53,2,8,2023-01-01
766979-7865826879-vd72,2316,72,1,28,2023-01-01
766979-7865826879-vd73,2907,41,3,14,2023-01-01
766979-7865826879-vd74,78,131,2,2,2023-01-01
766979-7865826879-vd75,3656,17,5,26,2023-01-01
766979-7865826879-vd76,1596,63,5,31,2023-01-01
766979-7865826879-vd77,1608,78,2,30,2023-01-01
766979-7865826879-vd78,2368,83,5,18,2023-01-01
766979-7865826879-vd79,3033,43,3,23,2023-01-01
766979-7865826879-vd80,108,78,3,20,2023-01-01
766979-7865826879-vd81,2147,5,5,27,2023-01-01
766979-7865826879-vd82,2128,101,1,11,2023-01-01
766979-7865826879-vd83,3750,69,4,25,2023-01-01
766979-7865826879-vd84,3592,63,1,1,2023-01-01
766979-7865826879-vd85,3466,4,5,13,2023-01-01
766979-7865826879-vd86,403,17,3,32,2023-01-01
766979-7865826879-vd91,1804,121,4,27,2023-01-01
766979-7865826879-vd92,1335,63,3,17,2023-01-01
766979-7865826879-vd93,458,63,3,19,2023-01-01
766979-7865826879-vd94,730,48,1,24,2023-01-01
766979-7865826879-vd95,3739,36,5,23,2023-01-01
766979-7865826879-vd96,238,36,1,15,2023-01-01
766979-7865826879-vd97,3656,19,3,13,2023-01-01
766979-7865826879-vd98,3664,101,5,8,2023-01-01
766979-7865826879-vd99,3849,101,1,24,2023-01-01
766979-7865826879-vd100,2087,36,5,34,2023-01-02
766979-7865826879-vd105,399,48,1,35,2023-01-02
766979-7865826879-vd106,464,49,3,26,2023-01-02
766979-7865826879-vd107,3220,104,4,10,2023-01-02
766979-7865826879-vd108,2587,82,5,7,2023-01-02
766979-7865826879-vd109,495,24,3,6,2023-01-02
766979-7865826879-vd110,2534,72,1,26,2023-01-02
766979-7865826879-vd111,734,25,2,4,2023-01-02
766979-7865826879-vd112,3545,93,4,32,2023-01-02
766979-7865826879-vd113,2161,104,4,20,2023-01-02
766979-7865826879-vd114,3611,37,5,17,2023-01-02
766979-7865826879-vd115,2981,104,5,4,2023-01-02
766979-7865826879-vd116,2188,28,4,31,2023-01-02
766979-7865826879-vd117,2161,25,5,22,2023-01-02
766979-7865826879-vd118,3188,22,3,18,2023-01-02
766979-7865826879-vd119,3962,104,2,31,2023-01-02
766979-7865826879-vd120,1526,14,3,11,2023-01-02
766979-7865826879-vd121,1400,104,3,17,2023-01-02
766979-7865826879-vd122,2121,65,3,18,2023-01-02
766979-7865826879-vd123,2283,80,5,14,2023-01-02
766979-7865826879-vd124,1632,25,2,21,2023-01-02
766979-7865826879-vd125,798,25,3,12,2023-01-02
766979-7865826879-vd126,1937,18,2,32,2023-01-02
766979-7865826879-vd127,808,68,2,34,2023-01-02
766979-7865826879-vd128,3092,77,3,21,2023-01-02
766979-7865826879-vd129,2217,49,3,9,2023-01-02
766979-7865826879-vd130,1817,34,1,2,2023-01-02
766979-7865826879-vd139,1509,83,5,32,2023-01-02
766979-7865826879-vd140,788,137,3,3,2023-01-02
766979-7865826879-vd141,1750,31,5,23,2023-01-02
766979-7865826879-vd142,1769,44,3,6,2023-01-02
766979-7865826879-vd143,2958,131,1,35,2023-01-02
766979-7865826879-vd144,1144,123,4,26,2023-01-02
766979-7865826879-vd145,3983,123,2,30,2023-01-02
766979-7865826879-vd146,883,117,2,18,2023-01-02
766979-7865826879-vd154,1780,123,5,7,2023-01-02
766979-7865826879-vd155,3217,76,4,14,2023-01-02
766979-7865826879-vd156,2053,113,3,5,2023-01-02
766979-7865826879-vd157,3746,41,3,14,2023-01-02
766979-7865826879-vd158,2736,41,2,8,2023-01-02
766979-7865826879-vd159,2372,78,4,12,2023-01-02
766979-7865826879-vd160,944,123,4,30,2023-01-02
766979-7865826879-vd161,863,123,3,27,2023-01-02
766979-7865826879-vd162,2203,98,4,4,2023-01-02
766979-7865826879-vd163,2313,44,2,6,2023-01-02
766979-7865826879-vd164,3528,115,2,15,2023-01-02
766979-7865826879-vd171,2985,124,2,4,2023-01-02
766979-7865826879-vd172,2306,5,1,12,2023-01-02
766979-7865826879-vd173,2489,44,1,34,2023-01-02
766979-7865826879-vd174,1924,113,4,20,2023-01-02
766979-7865826879-vd175,3607,69,1,20,2023-01-02
766979-7865826879-vd176,1650,49,3,11,2023-01-02
766979-7865826879-vd177,1061,131,1,26,2023-01-02
766979-7865826879-vd178,1313,127,1,13,2023-01-02
766979-7865826879-vd179,3948,26,5,30,2023-01-02
766979-7865826879-vd180,1404,41,4,11,2023-01-02
766979-7865826879-vd189,3489,80,1,13,2023-01-02
766979-7865826879-vd190,76,34,5,19,2023-01-02
766979-7865826879-vd191,2969,29,1,32,2023-01-02
766979-7865826879-vd192,2301,104,1,31,2023-01-02
766979-7865826879-vd193,1644,34,2,25,2023-01-02
766979-7865826879-vd194,2796,56,5,26,2023-01-02
766979-7865826879-vd195,3360,44,4,5,2023-01-02
766979-7865826879-vd196,1988,16,5,7,2023-01-02
766979-7865826879-vd197,1780,34,3,22,2023-01-02
766979-7865826879-vd198,3910,76,4,28,2023-01-02
766979-7865826879-vd199,1012,31,5,24,2023-01-02
766979-7865826879-vd200,3471,29,4,1,2023-01-02
766979-7865826879-vd201,2213,51,5,10,2023-01-02
766979-7865826879-vd202,1246,24,5,1,2023-01-02
766979-7865826879-vd203,2367,62,5,20,2023-01-02
766979-7865826879-vd204,633,121,5,11,2023-01-02
766979-7865826879-vd205,3181,45,1,8,2023-01-02
766979-7865826879-vd206,432,32,2,3,2023-01-02
766979-7865826879-vd207,3635,77,1,6,2023-01-02
766979-7865826879-vd208,1262,58,4,9,2023-01-02
766979-7865826879-vd209,254,86,1,23,2023-01-02
766979-7865826879-vd210,1094,134,3,33,2023-01-02
766979-7865826879-vd211,907,47,1,11,2023-01-02
766979-7865826879-vd212,3861,82,3,29,2023-01-02
766979-7865826879-vd213,385,25,3,14,2023-01-02
766979-7865826879-vd214,166,37,3,20,2023-01-03
766979-7865826879-vd215,1544,36,3,16,2023-01-03
766979-7865826879-vd216,400,54,5,22,2023-01-03
766979-7865826879-vd217,3627,19,2,22,2023-01-03
766979-7865826879-vd218,2663,17,4,22,2023-01-03
766979-7865826879-vd219,2145,130,5,29,2023-01-03
766979-7865826879-vd220,2305,98,2,14,2023-01-03
766979-7865826879-vd221,289,37,4,10,2023-01-03
766979-7865826879-vd222,1560,31,4,12,2023-01-03
766979-7865826879-vd223,511,71,5,31,2023-01-03
766979-7865826879-vd224,3215,5,1,20,2023-01-03
766979-7865826879-vd225,3632,98,3,31,2023-01-03
766979-7865826879-vd226,2512,2,4,35,2023-01-03
766979-7865826879-vd227,1696,130,4,16,2023-01-03
766979-7865826879-vd228,2975,88,2,28,2023-01-03
766979-7865826879-vd229,717,34,5,35,2023-01-03
766979-7865826879-vd237,2748,98,2,31,2023-01-03
766979-7865826879-vd238,1873,130,5,4,2023-01-03
766979-7865826879-vd239,755,61,4,23,2023-01-03
766979-7865826879-vd240,1407,97,5,22,2023-01-03
766979-7865826879-vd241,2132,38,1,17,2023-01-03
766979-7865826879-vd242,3157,98,4,24,2023-01-03
766979-7865826879-vd243,3795,16,2,15,2023-01-03
766979-7865826879-vd244,1514,108,2,20,2023-01-03
766979-7865826879-vd282,751,82,1,34,2023-01-03
766979-7865826879-vd283,746,87,1,7,2023-01-03
766979-7865826879-vd284,2102,90,4,23,2023-01-03
766979-7865826879-vd285,1763,63,4,18,2023-01-03
766979-7865826879-vd286,3252,6,3,22,2023-01-03
766979-7865826879-vd287,2392,134,5,27,2023-01-03
766979-7865826879-vd288,3883,9,3,18,2023-01-03
766979-7865826879-vd289,2348,86,1,15,2023-01-03
766979-7865826879-vd290,1027,70,3,16,2023-01-03
766979-7865826879-vd315,7,31,1,26,2023-01-03
766979-7865826879-vd316,466,36,4,21,2023-01-03
766979-7865826879-vd317,2710,63,2,29,2023-01-03
766979-7865826879-vd318,176,8,4,10,2023-01-03
766979-7865826879-vd319,2256,36,4,14,2023-01-04
766979-7865826879-vd320,1694,130,4,2,2023-01-04
766979-7865826879-vd321,3408,80,4,26,2023-01-04
766979-7865826879-vd322,857,124,5,9,2023-01-04
766979-7865826879-vd323,3872,78,5,31,2023-01-04
766979-7865826879-vd324,3746,25,4,26,2023-01-04
766979-7865826879-vd325,1942,77,5,17,2023-01-04
766979-7865826879-vd326,653,90,1,21,2023-01-04
766979-7865826879-vd327,3624,98,3,6,2023-01-04
766979-7865826879-vd333,267,70,2,4,2023-01-04
766979-7865826879-vd334,964,104,3,34,2023-01-04
766979-7865826879-vd335,2933,77,5,32,2023-01-04
766979-7865826879-vd336,2863,6,4,35,2023-01-04
766979-7865826879-vd337,3755,90,1,15,2023-01-04
766979-7865826879-vd338,1308,102,1,29,2023-01-04
766979-7865826879-vd339,3277,63,5,23,2023-01-04
766979-7865826879-vd340,3104,90,2,28,2023-01-04
766979-7865826879-vd341,575,83,2,32,2023-01-04
766979-7865826879-vd342,2549,63,5,32,2023-01-04
766979-7865826879-vd343,3371,61,1,23,2023-01-04
766979-7865826879-vd344,672,98,5,31,2023-01-04
766979-7865826879-vd345,1797,130,4,22,2023-01-04
766979-7865826879-vd346,309,113,5,2,2023-01-04
766979-7865826879-vd347,3690,90,1,15,2023-01-04
766979-7865826879-vd348,3414,48,5,26,2023-01-04
766979-7865826879-vd349,1031,98,4,15,2023-01-04
766979-7865826879-vd350,3980,42,1,11,2023-01-04
766979-7865826879-vd351,1392,133,5,13,2023-01-04
766979-7865826879-vd352,3671,27,4,25,2023-01-04
766979-7865826879-vd353,3996,1,1,31,2023-01-04
766979-7865826879-vd354,2416,24,3,21,2023-01-04
766979-7865826879-vd355,178,104,4,30,2023-01-04
766979-7865826879-vd356,2737,44,3,14,2023-01-04
766979-7865826879-vd357,1056,63,4,29,2023-01-04
766979-7865826879-vd358,3416,63,5,24,2023-01-04
766979-7865826879-vd359,65,33,3,20,2023-01-04
766979-7865826879-vd360,952,24,1,14,2023-01-04
766979-7865826879-vd361,843,138,2,7,2023-01-04
